,1,2,3,4,5,6,7,8,9,10
Nutlin-3,0.44840869802384,-0.43594980027025604,0.2922334464600141,0.49374985756206186,-0.4866293235803809,0.9682512365664379,-0.1312781188358794,0.35827165593921834,0.662411438627419,-0.5175476502472787
Nilotinib,0.9296724421502603,-0.49790994701020164,-0.4378367023774683,0.3626507057443257,0.17152542428393727,0.02288457746842478,-0.897465946184098,0.1520007370627472,0.9332022808379219,0.31176442611857025
RAF265,0.3681281448129533,-0.47357880335754754,0.24762899137665303,-0.15988640373404123,-0.3007547450308361,0.3882531825316499,-0.6307788485215785,0.675813777574048,-0.24534460416869858,-0.38795492928945147
PHA-665752,0.7535906903654236,-0.39999258022960404,0.3294815388944614,0.8224235530260133,-0.32449960721236526,-0.16942052945672684,0.3045838913324869,-0.48320517192747653,1.4307955749079406,-0.2939982964955934
PD-0325901,1.7221844626408223,-1.0083850978031288,0.9868322772288942,-1.1673766891761825,-0.23498869189129756,1.543815651177348,-1.864790029385328,-2.6561403478342065,-0.9362160981757897,0.16436151339048974
PLX4720,1.251500515262785,-0.3572829696212186,1.0630336475533109,-0.24192618028258972,-0.9594314657304336,-0.10503350605710765,-0.7993196825841499,0.570962008728457,0.13989388709990122,-0.28631119992791276
PD-0332991,0.36757334202063713,-0.7093491435384245,0.24517710463903708,0.32071607721282847,-0.40000690283336876,0.7561399513203922,0.5839221861439692,-0.22274743984469175,0.9528816591229243,0.1503505818605789
LBW242,0.5597340673743331,-0.3918381702596755,0.6176657643178078,0.6293991304680746,-0.08122679975955913,-0.9907315558775017,-0.19410693515106348,-0.5669233799252875,0.6816723299629036,-1.1829946327352356
AEW541,0.49638794165534095,0.012705054627276618,-0.7733938109809538,0.022729730465239767,-0.33368092809772254,0.32322741321735354,-0.5655981207972649,-0.4653875011816985,0.8470030974683226,0.3076360498082023
TAE684,0.9673546885206088,-0.38177832201155815,-1.6803578536619141,-0.1686961105939409,-0.4422717634986804,0.77922889809833,-0.13995071006906584,-0.3168251660093475,0.7886587833938252,-0.31414069890959034
TKI258,-0.1361602740819232,-0.6713239765961722,-0.2353987361217802,0.20297130527902243,-0.637281256834902,0.5478205634460537,-0.8593218340820639,0.7867345642263242,0.48180283700833965,-0.24226047000331777
AZD0530,0.11737090436847204,-1.0613551167548356,-0.23013397836864977,-0.5557322057786348,1.4167251968845695,0.22809983630016392,-0.484074686169419,0.47554714879017335,1.0595273053794483,-0.7006380495059357
Lapatinib,0.03535294464103202,0.22166719121885903,0.3956177833951692,-0.1308027612729593,0.9471932949757486,0.17256036878545103,-0.9937760154770414,0.31895304596216956,1.7251355758939608,0.1971564846533032
PF2341066,0.7715449254150543,-0.5841262580438137,-0.9971156097213619,0.14600814948811247,-0.5779627657653488,0.7218151660145885,-0.26778881045330066,-0.12018170332577713,0.6104395386418962,-0.3747525573471737
Sorafenib,1.290365519952975,0.23442767857216806,-0.37866565934105245,0.3704148553282373,0.5851597528607672,0.9971645520729923,-0.565132125518404,1.4385498236812,0.44555351843838786,0.45149091347692805
L-685458,1.095727087958683,-0.2317007130802784,-0.24424284050920692,0.5843692647302785,-0.04041426604569705,0.10583122979226244,0.030753021332506663,0.18832115070779185,0.7376771606210178,0.4109067871922023
AZD6244,1.6444683939450315,-0.9738396721825159,0.7453253616171871,-0.5622388699022454,-0.03864911636035564,1.1452040320646037,-1.6400993603430756,-2.2390291426973783,-0.6965563757038405,-0.015805288926124775
ZD-6474,-0.1124006042972128,-0.9809871945397872,0.14824535467164268,-0.0387810741859117,1.2062281961092436,-0.23320953649801887,-0.6723902192281705,0.30461882064865237,1.0216589503578992,-0.2894992762074924
Erlotinib,0.31134904159663873,-0.6098829501016352,0.2796371420749856,-0.7474731802705745,1.0613615836163501,0.2073755558566746,-0.7835135708971571,0.390334302759065,1.3025900436208797,-0.17822925225051672
